dst_host_srv_serror_rate,srv_serror_rate,same_srv_rate,dst_host_same_srv_rate,dst_host_srv_rerror_rate,dst_host_rerror_rate,duration,srv_rerror_rate,rerror_rate,flag_SF,su_attempted,protocol_type_tcp,num_compromised,num_root,dst_bytes,logged_in,flag_S0,service_http,srv_count,src_bytes,service_private,num_file_creations,protocol_type_udp,flag_REJ,service_domain_u,protocol_type_icmp,service_smtp,service_ftp_data,service_eco_i,service_ecr_i,flag_RSTR,service_other,service_finger,service_telnet,flag_RSTO,service_ftp,service_Z39_50,service_efs,service_whois,is_guest_login,service_uucp,service_auth,service_courier,service_nnsp,service_iso_tsap,service_time,service_uucp_path,service_imap4,service_bgp,service_ctf,service_hostnames,class
-0.6277198206353898,-0.6346587657754752,0.766315654198145,1.064424904365684,-0.37616248356456666,-0.3879645359208805,-0.1133350620413347,-0.3773091039131248,-0.37603932337497725,1,-0.02993325909419153,1,-0.0234854157759783,-0.02441042167774305,-0.03367795001700054,1,0,1,0.06695082253155915,-0.0611820895602238,0,-0.031569882399805536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.6139465391024552,1.6004327657804547,-1.1958059354675405,-1.0350116699627068,-0.37616248356456666,-0.3879645359208805,-0.1133350620413347,-0.3773091039131248,-0.37603932337497725,0,-0.02993325909419153,1,-0.0234854157759783,-0.02441042167774305,-0.037394928751251735,0,1,0,-0.15776297625308988,-0.062339796954393754,1,-0.031569882399805536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6139465391024552,1.6004327657804547,-1.3783288740410928,-1.0573461016044985,-0.37616248356456666,-0.3879645359208805,-0.1133350620413347,-0.3773091039131248,-0.37603932337497725,0,-0.02993325909419153,1,-0.0234854157759783,-0.02441042167774305,-0.037394928751251735,0,1,0,-0.2701198756454144,-0.062339796954393754,1,-0.031569882399805536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6277198206353898,-0.6346587657754752,-1.3783288740410928,-1.0573461016044985,2.7561381167550403,2.8619900598948633,-0.1133350620413347,2.702444273153818,2.7349936593641577,0,-0.02993325909419153,1,-0.0234854157759783,-0.02441042167774305,-0.037394928751251735,0,0,0,-0.21394142594925206,-0.062339796954393754,1,-0.031569882399805536,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6277198206353898,-0.6346587657754752,0.766315654198145,1.064424904365684,-0.37616248356456666,-0.3879645359208805,-0.1133350620413347,-0.3773091039131248,-0.37603932337497725,1,-0.02993325909419153,1,-0.0234854157759783,-0.02441042167774305,-0.037394928751251735,1,0,0,-0.3543875501896578,-0.06039671017221963,0,-0.031569882399805536,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6139465391024552,1.6004327657804547,-1.515221077971257,-1.1690182598134553,-0.37616248356456666,-0.3879645359208805,-0.1133350620413347,-0.3773091039131248,-0.37603932337497725,0,-0.02993325909419153,1,-0.0234854157759783,-0.02441042167774305,-0.037394928751251735,0,1,0,-0.3684321626136984,-0.062339796954393754,0,-0.031569882399805536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6277198206353898,-0.6346587657754752,0.766315654198145,1.064424904365684,-0.37616248356456666,-0.3879645359208805,-0.1133350620413347,-0.3773091039131248,-0.37603932337497725,1,-0.02993325909419153,0,-0.0234854157759783,-0.02441042167774305,-0.037394928751251735,0,0,0,-0.3684321626136984,-0.06223507970265901,0,-0.031569882399805536,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6277198206353898,-0.6346587657754752,0.766315654198145,1.064424904365684,-0.37616248356456666,-0.3229654440045655,-0.1133350620413347,-0.3773091039131248,-0.37603932337497725,1,-0.02993325909419153,1,-0.0234854157759783,-0.02441042167774305,-0.03194335994101662,1,0,1,-0.3403429377656172,-0.060984290306948345,0,-0.031569882399805536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.6139465391024552,1.6004327657804547,-1.2870674047543167,-0.9680083750373331,-0.37616248356456666,-0.3879645359208805,-0.1133350620413347,-0.3773091039131248,-0.37603932337497725,0,-0.02993325909419153,1,-0.0234854157759783,-0.02441042167774305,-0.037394928751251735,0,1,0,-0.05945068928480578,-0.062339796954393754,0,-0.031569882399805536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6277198206353898,-0.6346587657754752,0.766315654198145,1.064424904365684,-0.37616248356456666,-0.3879645359208805,-0.1133350620413347,-0.3773091039131248,-0.37603932337497725,1,-0.02993325909419153,1,-0.0234854157759783,-0.02441042167774305,0.06796371846603436,1,0,1,-0.24203065079733324,-0.0608679378050224,0,-0.031569882399805536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
